dir,track,h,search,queue,algo,dom,cov
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,ged,20
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,barman,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,citycar,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,parking,14
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,childsnack,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,floortile,2
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,tetris,8
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,cavediving,7
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,transport,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,thoughtful,5
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,maintenance,1
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,openstacks,20
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,hiking,16
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,visitall,0
lazyrandom,ipc2014,ff1,lazy,RANDOM,h,ged,19
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,nomystery,5
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,tidybot,15
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,pegsol,20
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,visitall,5
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,transport,0
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,elevators,17
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,woodworking,2
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,barman,9
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,parcprinter,11
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,parking,19
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,floortile,5
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,scanalyzer,16
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,sokoban,18
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,openstacks,20
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,nomystery,5
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,tidybot,15
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,pegsol,20
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,visitall,4
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,transport,0
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,elevators,17
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,woodworking,2
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,barman,8
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,parcprinter,7
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,parking,18
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,floortile,5
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,scanalyzer,17
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,sokoban,18
lazyrandom,ipc2011,ff1,lazy,RANDOM,h,openstacks,20
